datetime_start,zone,prix_da_eur_mwh,type_jour
2021-01-01 00:00:00,BZN|FR,50.87,Férié
2021-01-01 01:00:00,BZN|FR,48.19,Férié
2021-01-01 02:00:00,BZN|FR,44.68,Férié
2021-01-01 03:00:00,BZN|FR,42.92,Férié
2021-01-01 04:00:00,BZN|FR,40.39,Férié
2021-01-01 05:00:00,BZN|FR,40.2,Férié
2021-01-01 06:00:00,BZN|FR,39.63,Férié
2021-01-01 07:00:00,BZN|FR,40.09,Férié
2021-01-01 08:00:00,BZN|FR,41.27,Férié
2021-01-01 09:00:00,BZN|FR,44.88,Férié
2021-01-01 10:00:00,BZN|FR,45.0,Férié
2021-01-01 11:00:00,BZN|FR,47.2,Férié
2021-01-01 12:00:00,BZN|FR,50.78,Férié
2021-01-01 13:00:00,BZN|FR,45.49,Férié
2021-01-01 14:00:00,BZN|FR,44.73,Férié
2021-01-01 15:00:00,BZN|FR,46.59,Férié
2021-01-01 16:00:00,BZN|FR,52.99,Férié
2021-01-01 17:00:00,BZN|FR,60.26,Férié
2021-01-01 18:00:00,BZN|FR,60.61,Férié
2021-01-01 19:00:00,BZN|FR,60.36,Férié
2021-01-01 20:00:00,BZN|FR,57.4,Férié
2021-01-01 21:00:00,BZN|FR,53.86,Férié
2021-01-01 22:00:00,BZN|FR,53.45,Férié
2021-01-01 23:00:00,BZN|FR,49.72,Férié
2021-01-02 00:00:00,BZN|FR,46.69,Week-end
2021-01-02 01:00:00,BZN|FR,42.43,Week-end
2021-01-02 02:00:00,BZN|FR,41.09,Week-end
2021-01-02 03:00:00,BZN|FR,40.0,Week-end
2021-01-02 04:00:00,BZN|FR,37.55,Week-end
2021-01-02 05:00:00,BZN|FR,39.0,Week-end
2021-01-02 06:00:00,BZN|FR,42.09,Week-end
2021-01-02 07:00:00,BZN|FR,44.96,Week-end
2021-01-02 08:00:00,BZN|FR,48.45,Week-end
2021-01-02 09:00:00,BZN|FR,52.0,Week-end
2021-01-02 10:00:00,BZN|FR,52.0,Week-end
2021-01-02 11:00:00,BZN|FR,52.15,Week-end
2021-01-02 12:00:00,BZN|FR,55.95,Week-end
2021-01-02 13:00:00,BZN|FR,52.0,Week-end
2021-01-02 14:00:00,BZN|FR,50.69,Week-end
2021-01-02 15:00:00,BZN|FR,53.45,Week-end
2021-01-02 16:00:00,BZN|FR,59.99,Week-end
2021-01-02 17:00:00,BZN|FR,62.0,Week-end
2021-01-02 18:00:00,BZN|FR,63.08,Week-end
2021-01-02 19:00:00,BZN|FR,62.17,Week-end
2021-01-02 20:00:00,BZN|FR,60.03,Week-end
2021-01-02 21:00:00,BZN|FR,55.03,Week-end
2021-01-02 22:00:00,BZN|FR,52.25,Week-end
2021-01-02 23:00:00,BZN|FR,48.45,Week-end
2021-01-03 00:00:00,BZN|FR,46.11,Week-end
2021-01-03 01:00:00,BZN|FR,43.0,Week-end
2021-01-03 02:00:00,BZN|FR,39.55,Week-end
2021-01-03 03:00:00,BZN|FR,37.44,Week-end
2021-01-03 04:00:00,BZN|FR,35.64,Week-end
2021-01-03 05:00:00,BZN|FR,35.5,Week-end
2021-01-03 06:00:00,BZN|FR,36.14,Week-end
2021-01-03 07:00:00,BZN|FR,36.97,Week-end
2021-01-03 08:00:00,BZN|FR,38.92,Week-end
2021-01-03 09:00:00,BZN|FR,44.49,Week-end
2021-01-03 10:00:00,BZN|FR,49.0,Week-end
2021-01-03 11:00:00,BZN|FR,50.3,Week-end
2021-01-03 12:00:00,BZN|FR,52.04,Week-end
2021-01-03 13:00:00,BZN|FR,46.64,Week-end
2021-01-03 14:00:00,BZN|FR,44.01,Week-end
2021-01-03 15:00:00,BZN|FR,41.27,Week-end
2021-01-03 16:00:00,BZN|FR,49.92,Week-end
2021-01-03 17:00:00,BZN|FR,55.16,Week-end
2021-01-03 18:00:00,BZN|FR,59.29,Week-end
2021-01-03 19:00:00,BZN|FR,61.09,Week-end
2021-01-03 20:00:00,BZN|FR,60.0,Week-end
2021-01-03 21:00:00,BZN|FR,59.4,Week-end
2021-01-03 22:00:00,BZN|FR,55.36,Week-end
2021-01-03 23:00:00,BZN|FR,53.06,Week-end
2021-01-04 00:00:00,BZN|FR,50.23,Jour ouvré
2021-01-04 01:00:00,BZN|FR,47.01,Jour ouvré
2021-01-04 02:00:00,BZN|FR,43.79,Jour ouvré
2021-01-04 03:00:00,BZN|FR,41.65,Jour ouvré
2021-01-04 04:00:00,BZN|FR,41.62,Jour ouvré
2021-01-04 05:00:00,BZN|FR,44.5,Jour ouvré
2021-01-04 06:00:00,BZN|FR,56.0,Jour ouvré
2021-01-04 07:00:00,BZN|FR,62.0,Jour ouvré
2021-01-04 08:00:00,BZN|FR,64.84,Jour ouvré
2021-01-04 09:00:00,BZN|FR,68.25,Jour ouvré
2021-01-04 10:00:00,BZN|FR,65.97,Jour ouvré
2021-01-04 11:00:00,BZN|FR,63.93,Jour ouvré
2021-01-04 12:00:00,BZN|FR,63.94,Jour ouvré
2021-01-04 13:00:00,BZN|FR,63.94,Jour ouvré
2021-01-04 14:00:00,BZN|FR,61.97,Jour ouvré
2021-01-04 15:00:00,BZN|FR,62.45,Jour ouvré
2021-01-04 16:00:00,BZN|FR,63.9,Jour ouvré
2021-01-04 17:00:00,BZN|FR,67.02,Jour ouvré
2021-01-04 18:00:00,BZN|FR,71.05,Jour ouvré
2021-01-04 19:00:00,BZN|FR,72.6,Jour ouvré
2021-01-04 20:00:00,BZN|FR,70.0,Jour ouvré
2021-01-04 21:00:00,BZN|FR,61.39,Jour ouvré
2021-01-04 22:00:00,BZN|FR,59.8,Jour ouvré
2021-01-04 23:00:00,BZN|FR,54.69,Jour ouvré
2021-01-05 00:00:00,BZN|FR,54.79,Jour ouvré
2021-01-05 01:00:00,BZN|FR,50.3,Jour ouvré
2021-01-05 02:00:00,BZN|FR,49.53,Jour ouvré
2021-01-05 03:00:00,BZN|FR,44.58,Jour ouvré
2021-01-05 04:00:00,BZN|FR,45.05,Jour ouvré
2021-01-05 05:00:00,BZN|FR,49.53,Jour ouvré
2021-01-05 06:00:00,BZN|FR,58.15,Jour ouvré
2021-01-05 07:00:00,BZN|FR,68.3,Jour ouvré
2021-01-05 08:00:00,BZN|FR,70.41,Jour ouvré
2021-01-05 09:00:00,BZN|FR,75.0,Jour ouvré
2021-01-05 10:00:00,BZN|FR,73.48,Jour ouvré
2021-01-05 11:00:00,BZN|FR,72.31,Jour ouvré
2021-01-05 12:00:00,BZN|FR,71.35,Jour ouvré
2021-01-05 13:00:00,BZN|FR,72.52,Jour ouvré
2021-01-05 14:00:00,BZN|FR,69.75,Jour ouvré
2021-01-05 15:00:00,BZN|FR,66.46,Jour ouvré
2021-01-05 16:00:00,BZN|FR,66.04,Jour ouvré
2021-01-05 17:00:00,BZN|FR,71.9,Jour ouvré
2021-01-05 18:00:00,BZN|FR,80.0,Jour ouvré
2021-01-05 19:00:00,BZN|FR,80.0,Jour ouvré
2021-01-05 20:00:00,BZN|FR,70.12,Jour ouvré
2021-01-05 21:00:00,BZN|FR,58.87,Jour ouvré
2021-01-05 22:00:00,BZN|FR,58.5,Jour ouvré
2021-01-05 23:00:00,BZN|FR,55.51,Jour ouvré
2021-01-06 00:00:00,BZN|FR,53.73,Jour ouvré
2021-01-06 01:00:00,BZN|FR,52.95,Jour ouvré
2021-01-06 02:00:00,BZN|FR,52.73,Jour ouvré
2021-01-06 03:00:00,BZN|FR,50.12,Jour ouvré
2021-01-06 04:00:00,BZN|FR,47.2,Jour ouvré
2021-01-06 05:00:00,BZN|FR,49.29,Jour ouvré
2021-01-06 06:00:00,BZN|FR,55.0,Jour ouvré
2021-01-06 07:00:00,BZN|FR,67.61,Jour ouvré
2021-01-06 08:00:00,BZN|FR,73.6,Jour ouvré
2021-01-06 09:00:00,BZN|FR,91.73,Jour ouvré
2021-01-06 10:00:00,BZN|FR,86.99,Jour ouvré
2021-01-06 11:00:00,BZN|FR,80.02,Jour ouvré
2021-01-06 12:00:00,BZN|FR,78.76,Jour ouvré
2021-01-06 13:00:00,BZN|FR,73.79,Jour ouvré
2021-01-06 14:00:00,BZN|FR,73.02,Jour ouvré
2021-01-06 15:00:00,BZN|FR,70.89,Jour ouvré
2021-01-06 16:00:00,BZN|FR,72.85,Jour ouvré
2021-01-06 17:00:00,BZN|FR,79.63,Jour ouvré
2021-01-06 18:00:00,BZN|FR,101.07,Jour ouvré
2021-01-06 19:00:00,BZN|FR,96.85,Jour ouvré
2021-01-06 20:00:00,BZN|FR,79.6,Jour ouvré
2021-01-06 21:00:00,BZN|FR,69.77,Jour ouvré
2021-01-06 22:00:00,BZN|FR,64.31,Jour ouvré
2021-01-06 23:00:00,BZN|FR,62.39,Jour ouvré
2021-01-07 00:00:00,BZN|FR,77.0,Jour ouvré
2021-01-07 01:00:00,BZN|FR,65.85,Jour ouvré
2021-01-07 02:00:00,BZN|FR,63.78,Jour ouvré
2021-01-07 03:00:00,BZN|FR,51.51,Jour ouvré
2021-01-07 04:00:00,BZN|FR,49.35,Jour ouvré
2021-01-07 05:00:00,BZN|FR,55.63,Jour ouvré
2021-01-07 06:00:00,BZN|FR,65.0,Jour ouvré
2021-01-07 07:00:00,BZN|FR,83.98,Jour ouvré
2021-01-07 08:00:00,BZN|FR,95.02,Jour ouvré
2021-01-07 09:00:00,BZN|FR,99.0,Jour ouvré
2021-01-07 10:00:00,BZN|FR,93.83,Jour ouvré
2021-01-07 11:00:00,BZN|FR,97.87,Jour ouvré
2021-01-07 12:00:00,BZN|FR,100.0,Jour ouvré
2021-01-07 13:00:00,BZN|FR,92.14,Jour ouvré
2021-01-07 14:00:00,BZN|FR,80.4,Jour ouvré
2021-01-07 15:00:00,BZN|FR,83.57,Jour ouvré
2021-01-07 16:00:00,BZN|FR,89.68,Jour ouvré
2021-01-07 17:00:00,BZN|FR,100.0,Jour ouvré
2021-01-07 18:00:00,BZN|FR,106.95,Jour ouvré
2021-01-07 19:00:00,BZN|FR,108.97,Jour ouvré
2021-01-07 20:00:00,BZN|FR,95.85,Jour ouvré
2021-01-07 21:00:00,BZN|FR,78.37,Jour ouvré
2021-01-07 22:00:00,BZN|FR,71.68,Jour ouvré
2021-01-07 23:00:00,BZN|FR,65.04,Jour ouvré
2021-01-08 00:00:00,BZN|FR,57.45,Jour ouvré
2021-01-08 01:00:00,BZN|FR,56.41,Jour ouvré
2021-01-08 02:00:00,BZN|FR,55.17,Jour ouvré
2021-01-08 03:00:00,BZN|FR,51.76,Jour ouvré
2021-01-08 04:00:00,BZN|FR,50.86,Jour ouvré
2021-01-08 05:00:00,BZN|FR,56.45,Jour ouvré
2021-01-08 06:00:00,BZN|FR,65.75,Jour ouvré
2021-01-08 07:00:00,BZN|FR,86.93,Jour ouvré
