annee,mois,type_profil,heure,p_normalise,prix_base_eur_mwh,prix_haut_eur_mwh,prix_bas_eur_mwh,bl_base_eur_mwh,bl_haut_eur_mwh,bl_bas_eur_mwh,prix_base_p10_eur_mwh,prix_base_p25_eur_mwh,prix_base_p50_eur_mwh,prix_base_p75_eur_mwh,prix_base_p90_eur_mwh,freq_neg_base,prix_haut_p10_eur_mwh,prix_haut_p25_eur_mwh,prix_haut_p50_eur_mwh,prix_haut_p75_eur_mwh,prix_haut_p90_eur_mwh,freq_neg_haut,prix_bas_p10_eur_mwh,prix_bas_p25_eur_mwh,prix_bas_p50_eur_mwh,prix_bas_p75_eur_mwh,prix_bas_p90_eur_mwh,freq_neg_bas
2027,1,Jour ouvré,0,0.825195,65.2344,65.8835,63.9362,79.0533,79.8399,77.4801,115.2954,83.5944,55.8994,29.1294,6.6394,0.092,129.5485,86.7585,62.906,34.0735,7.9285,0.074,127.6012,84.8112,55.3012,32.6012,5.9812,0.075
2027,1,Jour ouvré,1,0.80303,63.4822,64.1138,62.2188,79.0533,79.8399,77.4801,118.5832,83.4897,53.7822,28.8222,-3.1078,0.104,133.0038,86.3788,60.1638,31.9088,4.4038,0.089,131.1088,84.4838,52.6288,30.7588,5.8188,0.08
2027,1,Jour ouvré,2,0.787727,62.2725,62.8921,61.0332,79.0533,79.8399,77.4801,115.7437,81.5987,53.4587,27.5687,-4.3313,0.133,131.5283,85.5483,56.0083,30.2133,-1.7617,0.109,129.6695,83.6895,52.3495,30.132,-3.2805,0.102
2027,1,Jour ouvré,3,0.749145,59.2224,59.8117,58.0438,79.0533,79.8399,77.4801,113.6419,78.5724,50.6349,24.9449,-5.0,0.133,126.1042,86.2117,55.2242,27.7742,-5.0,0.109,124.3363,79.0263,50.2238,26.7563,-5.0,0.11
2027,1,Jour ouvré,4,0.733645,57.997,58.5741,56.8429,79.0533,79.8399,77.4801,103.6633,75.2808,45.4933,19.7758,-5.0,0.173,119.2204,77.3729,47.3704,20.7004,-5.0,0.155,117.4891,76.041,44.9491,21.7891,-5.0,0.161
2027,1,Jour ouvré,5,0.793692,62.744,63.3683,61.4954,79.0533,79.8399,77.4801,112.004,76.2115,47.179,22.174,-5.0,0.117,122.2083,80.2083,51.0583,23.3183,-0.6317,0.105,120.3354,78.3354,46.1629,22.1754,-2.5046,0.113
2027,1,Jour ouvré,6,0.903997,71.4639,72.175,70.0418,79.0533,79.8399,77.4801,128.9214,91.9239,65.4114,35.8214,17.5614,0.061,140.3825,95.5725,68.3025,39.3725,19.9725,0.06,138.2493,93.3393,61.3068,37.2393,21.8793,0.046
2027,1,Jour ouvré,7,1.105502,87.3936,88.2632,85.6544,79.0533,79.8399,77.4801,160.4486,111.0886,81.5186,48.3886,27.5086,0.0,161.3182,113.5982,84.3982,55.1782,33.3182,0.0,158.7354,111.8694,78.6994,51.8494,34.1094,0.0
2027,1,Jour ouvré,8,1.250628,98.8662,99.85,96.8988,79.0533,79.8399,77.4801,172.2712,133.3112,85.2512,50.6412,26.2612,0.0,200.185,136.7675,89.2225,54.8875,29.965,0.0,187.2138,131.3438,82.4038,51.9363,29.5538,0.0
2027,1,Jour ouvré,9,1.230184,97.2501,98.2177,95.3147,79.0533,79.8399,77.4801,177.3251,133.9251,85.8551,53.4951,30.9951,0.0,186.8627,136.3621,87.6952,55.5702,32.1727,0.0,184.3807,125.1072,83.8247,52.4397,31.6297,0.0
2027,1,Jour ouvré,10,1.140778,90.1823,91.0796,88.3876,79.0533,79.8399,77.4801,163.4923,115.1148,79.0623,47.9998,28.3323,0.02,175.3896,125.1665,84.5871,56.2871,32.8206,0.007,167.2976,112.3976,77.2676,50.6476,32.8656,0.005
2027,1,Jour ouvré,11,1.022573,80.8378,81.6421,79.2291,79.0533,79.8399,77.4801,151.7078,110.9278,73.4178,44.3578,27.9578,0.02,174.5521,116.8921,76.6521,49.0996,30.5351,0.0,169.6591,104.6791,73.1391,45.7691,31.0691,0.005
2027,1,Jour ouvré,12,0.973727,76.9764,77.7423,75.4445,79.0533,79.8399,77.4801,139.7464,101.6164,70.4789,44.5364,27.3964,0.0,155.4423,106.4398,74.6148,48.1723,30.0523,0.0,153.1445,99.287,70.0745,44.9945,30.8245,0.0
2027,1,Jour ouvré,13,0.928298,73.385,74.1152,71.9246,79.0533,79.8399,77.4801,142.1525,95.9925,66.78,43.35,27.5725,0.02,149.8827,100.1552,70.4927,46.6727,30.3127,0.007,147.5221,94.7221,65.3196,43.6621,30.0021,0.011
